NCT,NCO,HRQoL,Phase,Sponsor_Class,Registration_Year,Radiation,Registry_Source,Strict_GBM_Only
NCT01814813,0,0,PHASE2,Academic/Investigator-Initiated,2013,0,US,Yes
NCT00112502,0,0,PHASE2,Academic/Investigator-Initiated,2005,1,US,Yes
NCT07754734,0,1,PHASE2,Government/Cooperative Group,2026,1,US,Yes
NCT01019434,0,0,PHASE2,Government/Cooperative Group,2009,1,US,Yes
NCT02667587,0,0,PHASE3,Industry,2016,1,US,Yes
NCT03548571,0,1,PHASE2/PHASE3,Academic/Investigator-Initiated,2018,0,US,Yes
NCT06649851,1,1,PHASE2,Academic/Investigator-Initiated,2025,1,US,Yes
NCT00108069,0,0,PHASE2,Government/Cooperative Group,2005,0,US,No
NCT03650257,0,0,PHASE2,Industry,2019,1,US,Yes
NCT00154375,0,0,PHASE3,Industry,2004,0,US,Yes
NCT06061809,0,0,PHASE2,Industry,2024,0,US,Yes
NCT00304031,1,1,PHASE3,Government/Cooperative Group,2006,1,US,Yes
NCT01903330,0,0,PHASE2,Industry,2014,0,US,Yes
NCT00086879,0,0,PHASE2,Government/Cooperative Group,2004,0,US,Yes
NCT01443676,0,0,PHASE2,Academic/Investigator-Initiated,2011,1,US,Yes
NCT03419403,0,0,PHASE3,Industry,2018,1,US,Yes
NCT00995007,0,0,PHASE2,Government/Cooperative Group,2009,0,US,No
NCT01413438,0,1,PHASE2,Government/Cooperative Group,2011,0,US,Yes
NCT00753246,0,1,PHASE3,Industry,2007,1,US,Yes
NCT07356973,0,0,PHASE2,Industry,2026,0,US,Yes
NCT02465268,0,0,PHASE2,Academic/Investigator-Initiated,2016,0,US,Yes
NCT00941460,0,0,PHASE2,Academic/Investigator-Initiated,2009,0,US,Yes
NCT00224978,0,0,PHASE3,Academic/Investigator-Initiated,2005,0,US,Yes
NCT07452458,1,1,PHASE3,Academic/Investigator-Initiated,2026,1,US,Yes
NCT05669820,1,1,PHASE2/PHASE3,Academic/Investigator-Initiated,2024,0,US,Yes
NCT00003564,0,0,PHASE3,Academic/Investigator-Initiated,1999,0,US,No
NCT06419946,1,1,PHASE3,Government/Cooperative Group,2025,0,US,Yes
NCT00379470,0,1,PHASE3,Industry,2006,0,US,Yes
NCT02017717,0,0,PHASE3,Industry,2014,0,US,Yes
NCT03345095,1,1,PHASE3,Government/Cooperative Group,2018,1,US,Yes
NCT02302235,0,0,PHASE2,Academic/Investigator-Initiated,2014,1,US,Yes
NCT07301268,0,0,PHASE2,Academic/Investigator-Initiated,2026,0,US,Yes
NCT01102595,0,0,PHASE2,Academic/Investigator-Initiated,2009,1,US,Yes
NCT02343406,0,0,PHASE2,Industry,2015,0,US,No
NCT06413706,0,0,PHASE2,Industry,2024,1,US,No
NCT00515086,0,0,PHASE2,Industry,2007,0,US,Yes
NCT01562197,0,0,PHASE2,Academic/Investigator-Initiated,2014,0,US,Yes
NCT00892177,0,1,PHASE2,Academic/Investigator-Initiated,2009,0,US,No
NCT02573324,1,1,PHASE3,Industry,2015,1,US,Yes
NCT02414165,0,0,PHASE2/PHASE3,Industry,2015,0,US,No
NCT05653635,0,1,PHASE2,Academic/Investigator-Initiated,2026,1,US,Yes
NCT05303519,0,1,PHASE3,Industry,2023,0,US,No
NCT00075387,0,1,PHASE2,Academic/Investigator-Initiated,2003,0,US,No
NCT06558214,0,0,PHASE2,Academic/Investigator-Initiated,2024,0,US,Yes
NCT05118776,0,0,PHASE3,Industry,2022,0,US,Yes
NCT05842746,0,0,PHASE2,Academic/Investigator-Initiated,2023,0,US,Yes
NCT02781792,0,1,PHASE2,Academic/Investigator-Initiated,2016,0,US,No
NCT05753007,0,0,PHASE2,Academic/Investigator-Initiated,2024,0,US,Yes
NCT01164189,1,1,PHASE2,Government/Cooperative Group,2011,0,US,No
NCT01067469,0,0,PHASE2,Academic/Investigator-Initiated,2010,0,US,Yes
NCT04959500,0,0,PHASE2,Academic/Investigator-Initiated,2021,1,US,Yes
NCT04175301,1,1,PHASE2,Academic/Investigator-Initiated,2019,1,US,No
NCT00820963,0,0,PHASE3,Academic/Investigator-Initiated,2006,1,US,Yes
NCT00615186,0,0,PHASE3,Industry,2008,1,US,Yes
NCT04105374,0,0,PHASE2/PHASE3,Academic/Investigator-Initiated,2020,1,US,No
NCT03149003,0,0,PHASE3,Industry,2017,0,US,Yes
NCT00083447,0,1,PHASE3,Industry,2004,0,US,Yes
NCT01402063,0,0,PHASE2,Academic/Investigator-Initiated,2011,1,US,Yes
NCT07003542,0,0,PHASE2,Academic/Investigator-Initiated,2026,0,US,Yes
NCT01480479,0,1,PHASE3,Industry,2011,0,US,Yes
NCT01280552,0,0,PHASE2,Industry,2011,1,US,Yes
NCT00004200,0,0,PHASE2,Industry,1999,1,US,Yes
NCT00075491,0,0,PHASE2,Government/Cooperative Group,2003,0,US,Yes
NCT00045968,0,0,PHASE3,Industry,2006,0,US,Yes
NCT00076986,0,0,PHASE3,Industry,2004,0,US,Yes
NCT01567202,0,0,PHASE2,Academic/Investigator-Initiated,2012,1,US,Yes
