"NCT","Brief_Title","Year","Phase","Sponsor_Class","Registry_Source","Status","Enrollment","Modality","Radiation","Strict_GBM_Only","Pediatric_title","NCO","NCO_strict","NCO_Designation","NCO_Instruments","HRQoL","HRQoL_Designation","HRQoL_Instruments"
"NCT01814813","Vaccine Therapy With Bevacizumab Versus Bevacizumab Alone in Treating Patients With Recurrent Glioblastoma Multiforme That Can Be Removed by Surgery",2013,"PHASE2","Academic/Investigator-Initiated","US","TERMINATED",90,"Surgical; Targeted / Small Molecule; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00112502","Temozolomide Alone or in Combination With Thalidomide and/or Isotretinoin and/or Celecoxib in Treating Patients Who Have Undergone Radiation Therapy for Glioblastoma Multiforme",2005,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",178,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT07754734","STUPP Regimen With or Without Lenvatinib for Newly Diagnosed Glioblastoma With MGMT Promoter Methylation",2026,"PHASE2","Government/Cooperative Group","US","NOT_YET_RECRUITING",138,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; eortc; qlq-bn20; qlq-c30; quality of life; symptom burden"
"NCT01019434","Radiation Therapy and Temsirolimus or Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma",2009,"PHASE2","Government/Cooperative Group","US","COMPLETED",111,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02667587","An Investigational Immuno-therapy Study of Temozolomide Plus Radiation Therapy With Nivolumab or Placebo, for Newly Diagnosed Patients With Glioblastoma (GBM, a Malignant Brain Cancer)",2016,"PHASE3","Industry","US","COMPLETED",716,"Radiation; Cytotoxic Chemotherapy; Immunotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT03548571","Dendritic Cell Immunotherapy Against Cancer Stem Cells in Glioblastoma Patients Receiving Standard Therapy",2018,"PHASE2/PHASE3","Academic/Investigator-Initiated","US","UNKNOWN",60,"Cytotoxic Chemotherapy; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; eortc; qlq-bn20; qlq-c30; quality of life"
"NCT06649851","G-CSF After Chemo-radiation in Patients With Glioblastoma",2025,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",60,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,1,1,"Secondary","hvlt; tmt; wechsler",1,"Secondary","fact-br; functional assessment of cancer therapy; quality of life"
"NCT00108069","Tamoxifen and Bortezomib to Treat Recurrent Brain Tumors",2005,"PHASE2","Government/Cooperative Group","US","COMPLETED",43,"Targeted / Small Molecule",0,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT03650257","A Large-scale Research for Immunotherapy of Glioblastoma With Autologous Heat Shock Protein gp96",2019,"PHASE2","Industry","US","UNKNOWN",150,"Radiation; Cytotoxic Chemotherapy; Immunotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00154375","Study of Imatinib Mesylate in Combination With Hydroxyurea Versus Hydroxyurea Alone as an Oral Therapy in Patients With Temozolomide Resistant Progressive Glioblastoma",2004,"PHASE3","Industry","US","COMPLETED",240,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT06061809","N-803 and PD-L1 t-haNK Combined With Bevacizumab for Recurrent or Progressive Glioblastoma",2024,"PHASE2","Industry","US","ACTIVE_NOT_RECRUITING",34,"Targeted / Small Molecule; Tumor Treating Fields; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
