"term","OR","lower","upper","p"
"(Intercept)",0.270757730848987,0.15137999029655,0.484276347692192,0.0000106123724781625
"OutcomeNCO",0.167132365432311,0.0770037175868154,0.362751675508485,0.00000604653965798612
"Sponsor_fAcademic/Investigator-Initiated",1.81938851877889,1.01760610591249,3.25290361666631,0.0435004750879618
"Sponsor_fGovernment/Cooperative Group",1.67579375090143,0.758560729421629,3.70212243613175,0.201714747838049
"Phase_fPHASE2/PHASE3",1.62611316203916,0.68402217213544,3.86572851505962,0.271138860629859
"Phase_fPHASE3",1.76557744544247,1.02127686245745,3.0523199246424,0.0418125854963225
"Year_c",1.04987987190501,1.01585162531908,1.0850479715333,0.00378473246849786
"Radiation",1.44319048122472,0.888208719920865,2.3449429378302,0.13852216101912
"Registry_fInternational",1.09578673188475,0.38540168796488,3.11557681056158,0.863771374129602
"OutcomeNCO:Sponsor_fAcademic/Investigator-Initiated",1.65079875560758,0.682097015411946,3.99523303861653,0.266315684083775
"OutcomeNCO:Sponsor_fGovernment/Cooperative Group",2.02280165050746,0.717364516428118,5.70383176696431,0.182871715980148
