"analysis","N","events","term","estimate","OR","lower","upper","p"
"Primary definition",289,39,"Sponsor_fAcademic/Investigator-Initiated",1.07734902677094,2.9368836223722,1.27768376970619,7.52500306972736,0.0102495727709024
"Primary definition",289,39,"Sponsor_fGovernment/Cooperative Group",1.26626070252531,3.54756233889659,1.13556957331884,11.2233890552818,0.029826421446061
"Primary definition",289,39,"Year_c",0.0523798948168539,1.0537759905194,1.00461225410937,1.10850030779327,0.0313643733371235
"Primary definition",289,39,"Radiation",0.812750935791386,2.25410035070555,1.1261820627203,4.6303192598171,0.0215824046975744
"Instrument-confirmed NCO",289,35,"Sponsor_fAcademic/Investigator-Initiated",1.18698430834742,3.27718331602013,1.36485777900099,8.97818618352841,0.00693257923894641
"Instrument-confirmed NCO",289,35,"Sponsor_fGovernment/Cooperative Group",1.1237134288898,3.07625647910206,0.856508292040747,10.8440298155349,0.0833020456134275
"Instrument-confirmed NCO",289,35,"Year_c",0.068640902055346,1.07105152768111,1.01774798321393,1.13174388940858,0.00784988758103689
"Instrument-confirmed NCO",289,35,"Radiation",0.732873850738295,2.08105265688926,1.00410475531198,4.42214232962727,0.0487219853359551
"Strict glioblastoma",239,34,"Sponsor_fAcademic/Investigator-Initiated",1.15316525852774,3.16820524418363,1.2867223740254,8.84620286574275,0.0111423390541627
"Strict glioblastoma",239,34,"Sponsor_fGovernment/Cooperative Group",1.30382384261476,3.68335434061863,1.0801211360755,12.7320328515873,0.0375990596722314
"Strict glioblastoma",239,34,"Year_c",0.0547525525096765,1.05627920869543,1.00071665535068,1.11976622172671,0.0469637670446588
"Strict glioblastoma",239,34,"Radiation",0.666005218699198,1.94644614231801,0.920322926349361,4.23261230973126,0.0815529464555922
"Excluding pediatric-title trials",285,38,"Sponsor_fAcademic/Investigator-Initiated",1.19923399540447,3.31757467172832,1.38936739666413,9.05263828115246,0.00596624173234517
"Excluding pediatric-title trials",285,38,"Sponsor_fGovernment/Cooperative Group",1.40656013560096,4.08189007817274,1.26931384800955,13.6028714546816,0.01875598458466
"Excluding pediatric-title trials",285,38,"Year_c",0.0572261271813513,1.05889522831836,1.00875219311894,1.11506217137836,0.0203258032571983
"Excluding pediatric-title trials",285,38,"Radiation",0.759650513996089,2.13752905345508,1.05728718744454,4.42502583704527,0.0343719629912722
"ClinicalTrials.gov only",275,39,"Sponsor_fAcademic/Investigator-Initiated",1.0772005729791,2.93644766322297,1.27747072215787,7.52365201741139,0.0102636824830988
"ClinicalTrials.gov only",275,39,"Sponsor_fGovernment/Cooperative Group",1.26801224565604,3.55378149230984,1.13633221767567,11.255214737819,0.0297558754793115
"ClinicalTrials.gov only",275,39,"Year_c",0.0524238705619847,1.05382233212273,1.00462952012791,1.10859687126933,0.0313149172374221
"ClinicalTrials.gov only",275,39,"Radiation",0.81333754845248,2.2554230224207,1.12596207278827,4.63665587218008,0.0216341176637708
"Adjusted for log2 enrollment",261,38,"Sponsor_fAcademic/Investigator-Initiated",1.1068909708446,3.02493913568174,1.29685541551859,7.85234288256977,0.00954178726234955
"Adjusted for log2 enrollment",261,38,"Sponsor_fGovernment/Cooperative Group",1.31944037087125,3.74132703569888,1.16849730862918,12.1587484184057,0.0267526795324761
"Adjusted for log2 enrollment",261,38,"Year_c",0.0581703980538051,1.05989558446869,1.0078981182203,1.1183706182527,0.0229930131144427
"Adjusted for log2 enrollment",261,38,"Radiation",0.644577727611505,1.90518235348477,0.93011602050957,3.97888852201977,0.0781255949430397
