"Characteristic","Overall","NCO absent","NCO registered","P value"
"Phase: II","180 (62.3)","158 (63.2)","22 (56.4)",".578"
"    II/III","18 (6.2)","16 (6.4)","2 (5.1)",""
"    III","91 (31.5)","76 (30.4)","15 (38.5)",""
"Sponsor: Industry","101 (34.9)","94 (37.6)","7 (17.9)",".049"
"    Academic/investigator","145 (50.2)","120 (48.0)","25 (64.1)",""
"    Government/cooperative","43 (14.9)","36 (14.4)","7 (17.9)",""
"Registry: ClinicalTrials.gov","275 (95.2)","236 (94.4)","39 (100.0)",".229"
"    International","14 (4.8)","14 (5.6)","0 (0.0)",""
"Strict glioblastoma population","239 (82.7)","205 (82.0)","34 (87.2)",".503"
"Radiation-containing intervention","123 (42.6)","99 (39.6)","24 (61.5)",".014"
"Completed trial","113 (39.1)","96 (38.4)","17 (43.6)",".598"
"Pediatric wording in title","4 (1.4)","3 (1.2)","1 (2.6)",".442"
"Planned enrollment, median [IQR]","118 [60-204]; n=261","105 [60-200]; n=223","158 [94-299]; n=38",".022"
