"Predictor","Outcome","Odds ratio","95% CI","P"
"Phase II/III vs II","Objective NCO (N=289; 39 events)","0.91","0.17-3.36",".893"
"Phase III vs II","Objective NCO (N=289; 39 events)","1.65","0.77-3.49",".195"
"Academic/investigator vs industry","Objective NCO (N=289; 39 events)","2.94","1.28-7.53",".010"
"Government/cooperative vs industry","Objective NCO (N=289; 39 events)","3.55","1.14-11.22",".030"
"Registration year, per year","Objective NCO (N=289; 39 events)","1.05","1.00-1.11",".031"
"Radiation-containing intervention","Objective NCO (N=289; 39 events)","2.25","1.13-4.63",".022"
"International-only vs ClinicalTrials.gov","Objective NCO (N=289; 39 events)","0.20","0.00-1.59",".155"
"Phase II/III vs II","HRQoL, complete case (N=282; 105 events)","2.29","0.87-6.17",".093"
"Phase III vs II","HRQoL, complete case (N=282; 105 events)","1.79","1.03-3.13",".040"
"Academic/investigator vs industry","HRQoL, complete case (N=282; 105 events)","1.76","1.02-3.10",".043"
"Government/cooperative vs industry","HRQoL, complete case (N=282; 105 events)","1.63","0.73-3.57",".228"
"Registration year, per year","HRQoL, complete case (N=282; 105 events)","1.05","1.01-1.08",".011"
"Radiation-containing intervention","HRQoL, complete case (N=282; 105 events)","1.13","0.68-1.86",".631"
"International-only vs ClinicalTrials.gov","HRQoL, complete case (N=282; 105 events)","2.02","0.47-9.54",".343"
